project_name,average_cbo,average_dit,average_lcom,sum_loc,stars,releases,age
JavaGuide,0.0,0.0,0.0,0,146019,0,6.38
GitHub-Chinese-Top-Charts,0.0,1.0,0.0,5,98964,0,5.05
hello-algo,1.8744186046511628,1.0,0.0683764230697674,7700,95711,8,1.88
java-design-patterns,3.3648264086511097,1.1974957313602732,0.1220518574183266,32893,89420,0,10.12
mall,3.9407894736842106,1.2394736842105265,0.3562858705921052,100903,77372,3,6.47
advanced-java,0.0,0.0,0.0,0,75737,1,5.96
LeetCodeAnimation,1.0,1.0,0.05,75,75329,0,5.8
spring-boot,5.238631977148151,1.2917470856172315,0.1608153399622481,373663,74567,286,11.93
elasticsearch,8.040225481611209,1.8537379597197896,0.2542726515188813,2415302,69602,155,14.62
interviews,1.303501945525292,1.0077821011673151,0.0212710766147859,5622,63393,0,7.6
Java,2.022265246853824,1.0619554695062925,0.1063293862226524,36489,58713,0,8.83
spring-framework,5.260111616132559,1.4719521316379955,0.1832777398939646,723277,56249,312,13.79
guava,3.9759600374648767,1.8076802997190131,0.1271816387318139,260016,50033,46,10.32
RxJava,2.499789331760344,1.3153282211173842,0.0710658033150754,370365,47844,234,11.7
Stirling-PDF,8.056818181818182,1.3143939393939394,0.2572885827272727,11834,42439,85,1.65
jadx,4.376352107422604,1.6437896307348006,0.2153223055262961,117768,41045,29,11.52
dubbo,5.318595303575206,1.2925745716099006,0.2461222082843241,236553,40391,104,12.26
JeecgBoot,7.270805812417437,1.178335535006605,0.2545083781109643,43195,40107,48,5.82
MPAndroidChart,8.843137254901961,1.9803921568627447,0.316518775,21111,37545,44,10.41
tutorials,4.082619902421063,1.115990057995029,0.1753437178695572,485047,36513,0,11.4
arthas,4.852803738317757,1.3820093457943925,0.3009874159228972,44708,35398,55,6.07
hello-algorithm,1.3333333333333333,1.0,0.0,58,35177,0,4.32
lottie-android,6.83623693379791,1.2926829268292683,0.3156894832055749,17194,34971,52,7.96
termux-app,5.925,1.43125,0.32352064509375,24391,34916,91,8.92
glide,5.972739361702128,1.2373670212765957,0.2244762232340425,59952,34592,47,11.21
halo,7.50265604249668,1.247011952191235,0.2182413781460823,49974,33318,190,6.51
netty,4.230268863833478,1.523995374385661,0.1818353404618386,326708,33297,0,13.87
AndroidUtilCode,4.155223880597015,1.364179104477612,0.228167053022388,39995,33243,117,8.15
spring-boot-demo,5.035343035343035,1.130977130977131,0.0875766834511434,7155,32891,0,6.87
zxing,5.00672268907563,1.7092436974789915,0.3281418657310924,39885,32672,31,12.95
easyexcel,6.569642857142857,1.375,0.2261029001660714,20545,32023,14,6.63
NewPipe,8.334500875656742,1.6532399299474605,0.3319478435376532,40796,31101,131,9.05
leetcode,2.526666666666667,1.0066666666666666,0.2465656098666666,4028,30960,20,7.54
selenium,5.77377753895755,1.3868887694787748,0.2198649803240193,86100,30232,98,11.69
spring-boot-examples,4.666666666666667,1.0264026402640265,0.1111172860396039,4171,30166,0,7.88
nacos,5.431856611430504,1.2918498478187352,0.2807190324822455,136649,30059,71,6.27
apollo,7.112656467315716,1.2642559109874827,0.3167447824200278,31774,29063,40,8.55
hutool,3.6453182002432105,1.2890149979732468,0.2631173191390353,123462,28951,145,10.44
kafka,7.413078747036066,1.3775115437414205,0.2978811664704854,597792,28418,0,13.11
canal,5.82824427480916,1.3807251908396947,0.3487309256545801,112434,28359,31,11.69
SpringAll,5.137096774193548,1.1129032258064515,0.2249660174462365,5988,28240,0,6.39
druid,5.09655293703834,1.9300035174111851,0.1475203925304256,332570,27900,51,11.91
spring-cloud-alibaba,5.816265060240964,1.1280120481927711,0.2348939473493976,20656,27816,42,6.81
xxl-job,4.693251533742331,1.1349693251533743,0.2954042888343558,8637,27395,33,8.82
vhr,4.4361702127659575,1.0212765957446808,0.3027147417021276,2971,27297,0,6.72
JCSprout,1.962962962962963,1.0925925925925926,0.1458681841358024,4399,27070,0,6.77
ruoyi-vue-pro,7.792868217054264,1.2378294573643411,0.1498640986207751,76008,26802,28,3.66
miaosha,4.146853146853147,1.1258741258741258,0.2730070740909091,8581,26191,0,6.02
fastjson,1.8530109056424848,1.504188398925241,0.1199221560850324,206496,25722,84,12.89
butterknife,3.974264705882353,1.2352941176470589,0.1515800144485294,7712,25560,0,11.55
toBeTopJavaer,0.0,0.0,0.0,0,25297,0,5.91
incubator-seata,6.735759493670886,1.887974683544304,0.2401014856693038,209510,25226,41,5.74
proxyee-down,5.516666666666667,1.4666666666666666,0.3806067168333333,3392,24936,49,6.91
SmartRefreshLayout,6.469543147208122,1.6649746192893402,0.1526379157106598,18989,24892,12,7.31
Telegram,6.751153907369091,1.6401400604806622,0.2737173289309247,1574345,24795,94,10.91
EventBus,3.4262295081967213,1.836065573770492,0.157772796557377,5269,24665,7,12.19
Hystrix,3.345635910224439,1.568079800498753,0.1107139369481296,62010,24071,79,11.84
flink,7.094509124602183,1.6429923860935425,0.3111419350903194,1162807,23860,0,10.29
skywalking,6.032486930545183,1.401045556385362,0.231643854126587,85372,23719,60,8.88
gson,2.9964028776978417,1.2176258992805755,0.0926630785530575,34568,23275,7,9.51
redisson,5.892501912777353,1.3431522570772765,0.1843327740703902,153636,23213,154,10.7
libgdx,5.139358747790962,1.80308003029538,0.2458560141792476,280632,23165,11,12.11
jenkins,6.092128135088155,1.9495902657064808,0.2225979109468587,181104,22996,367,13.83
bazel,7.388235294117647,1.5811936453413482,0.2454065218320309,627641,22994,153,10.28
keycloak,6.561858251940897,1.5780115201602805,0.340033321170298,464413,22379,63,11.23
Sentinel,4.441255006675568,1.1775700934579438,0.2249699951141522,55001,22322,25,6.47
source-code-hunter,0.0,0.0,0.0,0,22007,0,4.9
ExoPlayer,7.539164888753429,1.2922889362999086,0.2951405353614751,262348,21705,28,10.28
openapi-generator,4.866478003601749,1.2397736043220993,0.2788420981636223,221809,21359,66,6.37
FizzBuzzEnterpriseEdition,2.901098901098901,1.0,0.0429853483516483,894,21241,0,11.83
eladmin,7.749116607773852,1.1802120141342756,0.2074164997879858,7752,21210,1,5.77
rocketmq,6.777177825773938,1.3286537077033838,0.3114291077822174,207476,21093,19,7.81
GSYVideoPlayer,5.492537313432836,1.582089552238806,0.234310045389718,30718,20103,47,7.86
DoKit,4.502868068833652,1.319949012109624,0.2533827744811982,80596,20091,10,6.11
RxAndroid,2.272727272727273,1.1272727272727272,0.069543487090909,1452,19886,20,10.09
Apktool,6.4804469273743015,1.88268156424581,0.3100382176536312,12387,19876,23,12.51
HikariCP,4.386503067484663,1.3006134969325154,0.2248583621472392,10652,19870,0,10.96
shardingsphere,6.510472177469327,1.4906432023794771,0.1637072338531416,189470,19799,56,8.68
mybatis-3,3.548447204968944,1.2577639751552796,0.2109196640124223,55477,19699,43,11.6
litemall,4.615883306320908,1.1280388978930307,0.421738771419773,90884,19123,8,6.51
SpringBoot-Labs,4.29290144727774,1.0544452101998625,0.135051560889042,17375,18982,0,6.03
PhotoView,4.733333333333333,1.3555555555555556,0.1632265973333333,1792,18771,5,12.18
